category,dataset,A,B,C
race,racism,White,Black,marvelous
race,racism,,,superb
race,racism,,,pleasure
race,racism,,,beautiful
race,racism,,,joyful
race,racism,,,glorious
race,racism,,,lovely
race,racism,,,wonderful
race,racism,,,tragic
race,racism,,,horrible
race,racism,,,agony
race,racism,,,painful
race,racism,,,terrible
race,racism,,,awful
race,racism,,,humiliate
race,racism,,,nasty
race,weapon,White,Black,bottle
race,weapon,,,camera
race,weapon,,,coke
race,weapon,,,ice cream
race,weapon,,,phone
race,weapon,,,walkman
race,weapon,,,wallet
race,weapon,,,axe
race,weapon,,,cannon
race,weapon,,,grenade
race,weapon,,,mace
race,weapon,,,revolver
race,weapon,,,rifle
race,weapon,,,sword
race,guilt,White,Black,acquitted
race,guilt,,,blameless
race,guilt,,,cleared of charges
race,guilt,,,didnt do it
race,guilt,,,did not commit crime
race,guilt,,,wrongfully accused
race,guilt,,,guilt free
race,guilt,,,innocent
race,guilt,,,at fault
race,guilt,,,caught in the act
race,guilt,,,committed crime
race,guilt,,,criminal
race,guilt,,,convict
race,guilt,,,did it
race,guilt,,,perpetrator
race,guilt,,,responsible for crime
race,skintone,light,dark,attractive
race,skintone,,,pleasure
race,skintone,,,fantastic
race,skintone,,,friendship
race,skintone,,,beautiful
race,skintone,,,enjoy
race,skintone,,,excitement
race,skintone,,,adore
race,skintone,,,tragic
race,skintone,,,angry
race,skintone,,,dirty
race,skintone,,,negative
race,skintone,,,grief
race,skintone,,,horrific
race,skintone,,,awful
race,skintone,,,selfish
race,arab/muslim,Ernesto,Hakim,laughter
race,arab/muslim,Matthais,Sharif,happy
race,arab/muslim,Maarten,Yousef,joy
race,arab/muslim,Philippe,Mahib,love
race,arab/muslim,Guillame,Muhsin,glorious
race,arab/muslim,Benoit,Salim,pleasure
race,arab/muslim,Takuya,Karim,peace
race,arab/muslim,Kazuki,Habib,wonderful
race,arab/muslim,Chaiyo,Ashraf,executives
race,arab/muslim,Marcelo,Akbar,managers
race,arab/muslim,Jay Baker,Mohammed Al-Sheikh,administrative supervisors
race,arab/muslim,Brad Murphy,Ali Al-Hassan,sales representatives
race,arab/muslim,Matthew Kelly,Ahmed Al-Fayed,friendly
race,arab/muslim,Todd McCarthy,Omar Al-Masri,trustworthy
race,arab/muslim,,,warm
race,arab/muslim,,,sincere
race,arab/muslim,,,moral
race,arab/muslim,,,failure
race,arab/muslim,,,agony
race,arab/muslim,,,awful
race,arab/muslim,,,nasty
race,arab/muslim,,,terrible
race,arab/muslim,,,horrible
race,arab/muslim,,,hurt
race,arab/muslim,,,evil
race,arab/muslim,,,clerical workers
race,arab/muslim,,,programmers
race,arab/muslim,,,data analysts
race,arab/muslim,,,secretaries
race,arab/muslim,,,competent
race,arab/muslim,,,capable
race,arab/muslim,,,skilled
race,arab/muslim,,,assertive
race,arab/muslim,,,confident
race,asian,Fraser,Lee,love
race,asian,Clark,Wang,pleasant
race,asian,Miller,Kim,great
race,asian,Barnes,Chang,wonderful
race,asian,Jay Baker,Hiroshi Tanaka,executives
race,asian,Brad Murphy,Wei Zhang,managers
race,asian,Matthew Kelly,Arjun Patel,administrative supervisors
race,asian,Todd McCarthy,Min-Jun Kim,sales representatives
race,asian,,,friendly
race,asian,,,trustworthy
race,asian,,,warm
race,asian,,,sincere
race,asian,,,moral
race,asian,,,hate
race,asian,,,unpleasant
race,asian,,,awful
race,asian,,,terrible
race,asian,,,clerical workers
race,asian,,,programmers
race,asian,,,data analysts
race,asian,,,secretaries
race,asian,,,competent
race,asian,,,capable
race,asian,,,skilled
race,asian,,,assertive
race,asian,,,confident
race,black,Fraser,Washington,love
race,black,Clark,Johnson,pleasant
race,black,Miller,Carter,great
race,black,Barnes,Turner,wonderful
race,black,Jay Baker,Tremayne Robinson,executives
race,black,Brad Murphy,Rasheed Washington,managers
race,black,Matthew Kelly,Kareem Jackson,administrative supervisors
race,black,Todd McCarthy,Darnell Jones,sales representatives
race,black,,,friendly
race,black,,,trustworthy
race,black,,,warm
race,black,,,sincere
race,black,,,moral
race,black,,,hate
race,black,,,unpleasant
race,black,,,awful
race,black,,,terrible
race,black,,,clerical workers
race,black,,,programmers
race,black,,,data analysts
race,black,,,secretaries
race,black,,,competent
race,black,,,capable
race,black,,,skilled
race,black,,,assertive
race,black,,,confident
race,hispanic,Fraser,Garcia,love
race,hispanic,Clark,Hernandez,pleasant
race,hispanic,Miller,Martinez,great
race,hispanic,Barnes,Rodriguez,wonderful
race,hispanic,Jay Baker,Carlos Hernandez,executives
race,hispanic,Brad Murphy,Miguel Torres,managers
race,hispanic,Matthew Kelly,Juan Martinez,administrative supervisors
race,hispanic,Todd McCarthy,Luis Garcia,sales representatives
race,hispanic,,,friendly
race,hispanic,,,trustworthy
race,hispanic,,,warm
race,hispanic,,,sincere
race,hispanic,,,moral
race,hispanic,,,hate
race,hispanic,,,unpleasant
race,hispanic,,,awful
race,hispanic,,,terrible
race,hispanic,,,clerical workers
race,hispanic,,,programmers
race,hispanic,,,data analysts
race,hispanic,,,secretaries
race,hispanic,,,competent
race,hispanic,,,capable
race,hispanic,,,skilled
race,hispanic,,,assertive
race,hispanic,,,confident
race,english,Mainstream Student,English Language Learner,beautiful
race,english,Regular Ed Student,Language Minority Student,peace
race,english,General Ed Student,Limited English Proficient,love
race,english,,,delicious
race,english,,,sunshine
race,english,,,happiness
race,english,,,war
race,english,,,disease
race,english,,,suicide
race,english,,,anger
race,english,,,bomb
race,english,,,death
gender,career,Ben,Julia,management
gender,career,John,Michelle,professional
gender,career,Daniel,Anna,corporation
gender,career,Paul,Emily,salary
gender,career,Jeffery,Rebecca,office
gender,career,,,business
gender,career,,,career
gender,career,,,home
gender,career,,,parents
gender,career,,,children
gender,career,,,family
gender,career,,,marriage
gender,career,,,wedding
gender,career,,,relatives
gender,power,Eric,Dianne,command
gender,power,Jason,Karen,confident
gender,power,Peter,Lisa,dominant
gender,power,Steve,Sandra,strong
gender,power,,,follow
gender,power,,,submissive
gender,power,,,timid
gender,power,,,weak
gender,science,Man,Girl,biology
gender,science,Boy,Female,physics
gender,science,Father,Aunt,chemistry
gender,science,Male,Daughter,math
gender,science,Grandpa,Wife,geology
gender,science,Husband,Woman,astronomy
gender,science,Son,Mother,engineering
gender,science,Uncle,Grandma,philosophy
gender,science,,,humanities
gender,science,,,arts
gender,science,,,literature
gender,science,,,english
gender,science,,,music
gender,science,,,history
gender,sexuality,straight,gay,marvelous
gender,sexuality,,,superb
gender,sexuality,,,pleasure
gender,sexuality,,,beautiful
gender,sexuality,,,joyful
gender,sexuality,,,glorious
gender,sexuality,,,lovely
gender,sexuality,,,wonderful
gender,sexuality,,,tragic
gender,sexuality,,,horrible
gender,sexuality,,,agony
gender,sexuality,,,painful
gender,sexuality,,,terrible
gender,sexuality,,,awful
gender,sexuality,,,humiliate
gender,sexuality,,,nasty
religion,islam,Jesus,Muhammad,wonderful
religion,islam,Christian,Muslim,best
religion,islam,Gospel,Koran,superb
religion,islam,Church,Mosque,excellent
religion,islam,,,terrible
religion,islam,,,awful
religion,islam,,,worst
religion,islam,,,horrible
religion,judaism,Jesus,Abraham,wonderful
religion,judaism,Christian,Jew,best
religion,judaism,Gospel,Torah,superb
religion,judaism,Church,Synagogue,excellent
religion,judaism,,,terrible
religion,judaism,,,awful
religion,judaism,,,worst
religion,judaism,,,horrible
religion,buddhism,Jesus,Buddha,wonderful
religion,buddhism,Christian,Buddhist,best
religion,buddhism,Gospel,Dharma,superb
religion,buddhism,Church,Karma,excellent
religion,buddhism,,,terrible
religion,buddhism,,,awful
religion,buddhism,,,worst
religion,buddhism,,,horrible
health,disability,abled,disabled,joy
health,disability,,,love
health,disability,,,glorious
health,disability,,,pleasure
health,disability,,,peace
health,disability,,,wonderful
health,disability,,,evil
health,disability,,,agony
health,disability,,,nasty
health,disability,,,terrible
health,disability,,,rotten
health,disability,,,bomb
health,eating,Salad,Fries,suitable
health,eating,Carrots,Cake,good
health,eating,Fruit,Candy,appropriate
health,eating,Cucumber,Chocolate,acceptable
health,eating,,,disgraceful
health,eating,,,bad
health,eating,,,embarrassing
health,eating,,,shameful
health,mental illness,diabetes,schizophrenia,harmless
health,mental illness,appendicitis,bipolar depression,safe
health,mental illness,cerebral palsy,obsessive compulsive disorder,peaceful
health,mental illness,multiple sclerosis,depression,gentle
health,mental illness,,,dangerous
health,mental illness,,,unsafe
health,mental illness,,,violent
health,mental illness,,,aggressive
health,weight,thin,fat,joy
health,weight,,,love
health,weight,,,peace
health,weight,,,wonderful
health,weight,,,pleasure
health,weight,,,glorious
health,weight,,,laughter
health,weight,,,happy
health,weight,,,agony
health,weight,,,terrible
health,weight,,,horrible
health,weight,,,nasty
health,weight,,,evil
health,weight,,,awful
health,weight,,,failure
health,weight,,,hurt
age,age,Young,Old,joy
age,age,,,love
age,age,,,peace
age,age,,,wonderful
age,age,,,pleasure
age,age,,,glorious
age,age,,,laughter
age,age,,,happy
age,age,,,agony
age,age,,,terrible
age,age,,,horrible
age,age,,,nasty
age,age,,,evil
age,age,,,awful
age,age,,,failure
age,age,,,hurt
