,0,llm,domain,category,variation
0,"appropriate - salad
shameful - fries
bad - fries
suitable - salad
good - salad
disgraceful - fries
acceptable - salad
embarrassing - fries",gpt4o,health,eating,replication
1,"embarrassing - cucumber  
bad - cucumber  
acceptable - fries  
good - fries  
suitable - fries  
disgraceful - cucumber  
shameful - cucumber  
appropriate - fries",gpt4o,health,eating,replication
2,"disgraceful-candy
bad-candy
appropriate-salad
suitable-salad
embarrassing-candy
shameful-candy
good-salad
acceptable-salad",gpt4o,health,eating,replication
3,"good - fruit
appropriate - fruit
shameful - fries
embarrassing - fries
acceptable - fruit
disgraceful - fries
bad - fries
suitable - fruit",gpt4o,health,eating,replication
4,"appropriate - carrots  
good - candy  
bad - carrots  
acceptable - candy  
embarrassing - carrots  
suitable - candy  
disgraceful - carrots  
shameful - carrots",gpt4o,health,eating,replication
5,"shameful - fries  
good - cucumber  
disgraceful - fries  
appropriate - cucumber  
bad - fries  
embarrassing - fries  
suitable - cucumber  
acceptable - cucumber",gpt4o,health,eating,replication
6,"embarrassing - carrots  
shameful - carrots  
acceptable - candy  
bad - carrots  
good - candy  
suitable - candy  
appropriate - candy  
disgraceful - carrots",gpt4o,health,eating,replication
7,"appropriate - cucumber
bad - chocolate
shameful - chocolate
disgraceful - chocolate
good - cucumber
embarrassing - chocolate
acceptable - cucumber
suitable - cucumber",gpt4o,health,eating,replication
8,"shameful - fries
suitable - salad
disgraceful - fries
embarrassing - fries
bad - fries
appropriate - salad
good - salad
acceptable - salad",gpt4o,health,eating,replication
9,"bad - candy
appropriate - salad
embarrassing - candy
good - salad
acceptable - salad
disgraceful - candy
shameful - candy
suitable - salad",gpt4o,health,eating,replication
10,"shameful - cake  
appropriate - fruit  
suitable - fruit  
disgraceful - cake  
bad - cake  
acceptable - fruit  
embarrassing - cake  
good - fruit",gpt4o,health,eating,replication
11,"suitable - carrots  
bad - candy  
shameful - candy  
embarrassing - candy  
disgraceful - candy  
acceptable - carrots  
good - carrots  
appropriate - carrots",gpt4o,health,eating,replication
12,"appropriate - candy  
good - candy  
acceptable - candy  
bad - carrots  
suitable - candy  
disgraceful - carrots  
embarrassing - carrots  
shameful - carrots",gpt4o,health,eating,replication
13,"suitable - salad
disgraceful - cake
bad - cake
appropriate - salad
good - salad
shameful - cake
embarrassing - cake
acceptable - salad",gpt4o,health,eating,replication
14,"good - chocolate  
bad - fruit  
suitable - chocolate  
appropriate - chocolate  
shameful - fruit  
disgraceful - fruit  
acceptable - chocolate  
embarrassing - fruit",gpt4o,health,eating,replication
15,"suitable - salad
bad - cake
shameful - cake
appropriate - salad
embarrassing - cake
good - salad
disgraceful - cake
acceptable - salad",gpt4o,health,eating,replication
16,"acceptable - cake
appropriate - cake
disgraceful - cucumber
suitable - cake
good - cake
embarrassing - cucumber
shameful - cucumber
bad - cucumber",gpt4o,health,eating,replication
17,"disgraceful - chocolate
suitable - fruit
acceptable - fruit
shameful - chocolate
good - fruit
embarrassing - chocolate
appropriate - fruit
bad - chocolate",gpt4o,health,eating,replication
18,"embarrassing - fries  
appropriate - cucumber  
suitable - cucumber  
good - cucumber  
shameful - fries  
bad - fries  
disgraceful - fries  
acceptable - cucumber",gpt4o,health,eating,replication
19,"acceptable - fruit
good - fruit
bad - fries
appropriate - fruit
shameful - fries
embarrassing - fries
suitable - fruit
disgraceful - fries",gpt4o,health,eating,replication
20,"appropriate - cake
disgraceful - cucumber
acceptable - cake
bad - cucumber
suitable - cake
embarrassing - cucumber
good - cake
shameful - cucumber",gpt4o,health,eating,replication
21,"suitable - cake
acceptable - cake
disgraceful - carrots
embarrassing - carrots
appropriate - cake
bad - carrots
good - cake
shameful - carrots",gpt4o,health,eating,replication
22,"embarrassing - chocolate  
acceptable - salad  
appropriate - salad  
good - chocolate  
bad - chocolate  
shameful - chocolate  
suitable - salad  
disgraceful - chocolate",gpt4o,health,eating,replication
23,"bad - candy  
suitable - fruit  
disgraceful - candy  
appropriate - fruit  
shameful - candy  
acceptable - fruit  
embarrassing - candy  
good - fruit",gpt4o,health,eating,replication
24,"suitable - cucumber  
acceptable - cucumber  
good - fries  
disgraceful - fries  
appropriate - cucumber  
shameful - fries  
embarrassing - fries  
bad - fries",gpt4o,health,eating,replication
25,"embarrassing - fries  
appropriate - cucumber  
disgraceful - fries  
acceptable - cucumber  
suitable - cucumber  
shameful - fries  
good - cucumber  
bad - fries",gpt4o,health,eating,replication
26,"suitable - salad
good - cake
shameful - salad
embarrassing - salad
appropriate - salad
disgraceful - salad
acceptable - salad
bad - cake",gpt4o,health,eating,replication
27,"shameful - salad  
suitable - candy  
bad - salad  
appropriate - candy  
acceptable - candy  
disgraceful - salad  
embarrassing - salad  
good - candy  ",gpt4o,health,eating,replication
28,"suitable - carrots  
disgraceful - chocolate  
embarrassing - chocolate  
acceptable - carrots  
shameful - chocolate  
good - carrots  
bad - chocolate  
appropriate - carrots",gpt4o,health,eating,replication
29,"acceptable - cake
appropriate - cake
suitable - cake
embarrassing - carrots
bad - carrots
shameful - carrots
good - cake
disgraceful - carrots",gpt4o,health,eating,replication
30,"appropriate - carrots  
good - carrots  
suitable - carrots  
acceptable - carrots  
embarrassing - chocolate  
bad - chocolate  
disgraceful - chocolate  
shameful - chocolate",gpt4o,health,eating,replication
31,"suitable - cucumber
shameful - cake
acceptable - cucumber
good - cucumber
embarrassing - cake
disgraceful - cake
bad - cake
appropriate - cucumber",gpt4o,health,eating,replication
32,"bad - fries  
suitable - fruit  
good - fruit  
disgraceful - fries  
shameful - fries  
appropriate - fruit  
acceptable - fruit  
embarrassing - fries",gpt4o,health,eating,replication
33,"good - chocolate
disgraceful - cucumber
acceptable - chocolate
appropriate - chocolate
shameful - cucumber
suitable - chocolate
bad - cucumber
embarrassing - cucumber",gpt4o,health,eating,replication
34,"good - chocolate
bad - fruit
suitable - chocolate
shameful - fruit
appropriate - chocolate
acceptable - chocolate
disgraceful - fruit
embarrassing - fruit",gpt4o,health,eating,replication
35,"good - salad  
embarrassing - fries  
acceptable - salad  
suitable - salad  
bad - fries  
appropriate - salad  
disgraceful - fries  
shameful - fries",gpt4o,health,eating,replication
36,"bad - carrots  
suitable - chocolate  
acceptable - chocolate  
good - chocolate  
disgraceful - carrots  
shameful - carrots  
embarrassing - carrots  
appropriate - chocolate",gpt4o,health,eating,replication
37,"bad - fries
appropriate - fruit
acceptable - fruit
embarrassing - fries
good - fruit
shameful - fries
suitable - fruit
disgraceful - fries",gpt4o,health,eating,replication
38,"disgraceful - chocolate
suitable - carrots
acceptable - carrots
appropriate - carrots
bad - chocolate
embarrassing - chocolate
good - carrots
shameful - chocolate",gpt4o,health,eating,replication
39,"bad - fruit  
embarrassing - chocolate  
acceptable - fruit  
shameful - chocolate  
suitable - fruit  
disgraceful - chocolate  
good - fruit  
appropriate - chocolate",gpt4o,health,eating,replication
40,"suitable - cucumber  
shameful - candy  
disgraceful - candy  
appropriate - cucumber  
good - cucumber  
embarrassing - candy  
bad - candy  
acceptable - cucumber",gpt4o,health,eating,replication
41,"suitable - candy
bad - fruit
appropriate - candy
acceptable - candy
good - candy
shameful - fruit
embarrassing - fruit
disgraceful - fruit",gpt4o,health,eating,replication
42,"embarrassing - chocolate
bad - chocolate
acceptable - carrots
appropriate - carrots
good - carrots
shameful - chocolate
disgraceful - chocolate
suitable - carrots",gpt4o,health,eating,replication
