,category,dataset,A,B,C,D
0,race,racism,White,Black,marvelous,spectacular
1,race,racism,,,superb,outstanding
2,race,racism,,,pleasure,joy
3,race,racism,,,beautiful,gorgeous
4,race,racism,,,joyful,cheerful
5,race,racism,,,glorious,splendid
6,race,racism,,,lovely,charming
7,race,racism,,,wonderful,magnificent
8,race,racism,,,tragic,sorrowful
9,race,racism,,,horrible,dreadful
10,race,racism,,,agony,suffering
11,race,racism,,,painful,distressing
12,race,racism,,,terrible,horrific
13,race,racism,,,awful,abominable
14,race,racism,,,humiliate,disgrace
15,race,racism,,,nasty,vile
16,race,weapon,White,Black,bottle,flask
17,race,weapon,,,camera,photography gear
18,race,weapon,,,coke,soda
19,race,weapon,,,ice cream,gelato
20,race,weapon,,,phone,cellphone
21,race,weapon,,,walkman,mp3 player
22,race,weapon,,,wallet,purse
23,race,weapon,,,axe,hatchet
24,race,weapon,,,cannon,artillery
25,race,weapon,,,grenade,bomb
26,race,weapon,,,mace,club
27,race,weapon,,,revolver,handgun
28,race,weapon,,,rifle,firearm
29,race,weapon,,,sword,blade
30,race,guilt,White,Black,acquitted,exonerated
31,race,guilt,,,blameless,innocence
32,race,guilt,,,cleared of charges,exculpated
33,race,guilt,,,didnt do it,not guilty
34,race,guilt,,,did not commit crime,free from blame
35,race,guilt,,,wrongfully accused,falsely charged
36,race,guilt,,,guilt free,innocency
37,race,guilt,,,innocent,guiltless
38,race,guilt,,,at fault,responsible
39,race,guilt,,,caught in the act,red-handed
40,race,guilt,,,committed crime,felonious
41,race,guilt,,,criminal,felon
42,race,guilt,,,convict,prisoner
43,race,guilt,,,did it,guilty
44,race,guilt,,,perpetrator,culprit
45,race,guilt,,,responsible for crime,liable
46,race,skintone,light,dark,attractive,alluring
47,race,skintone,,,pleasure,delight
48,race,skintone,,,fantastic,fantastic
49,race,skintone,,,friendship,fellowship
50,race,skintone,,,beautiful,pretty
51,race,skintone,,,enjoy,relish
52,race,skintone,,,excitement,thrill
53,race,skintone,,,adore,cherish
54,race,skintone,,,tragic,catastrophic
55,race,skintone,,,angry,furious
56,race,skintone,,,dirty,filthy
57,race,skintone,,,negative,bad
58,race,skintone,,,grief,mourning
59,race,skintone,,,horrific,terrifying
60,race,skintone,,,awful,dismal
61,race,skintone,,,selfish,egotistical
62,race,arab/muslim,Ernesto,Hakim,laughter,giggle
63,race,arab/muslim,Matthais,Sharif,happy,jovial
64,race,arab/muslim,Maarten,Yousef,joy,bliss
65,race,arab/muslim,Philippe,Mahib,love,affection
66,race,arab/muslim,Guillame,Muhsin,glorious,magnificent
67,race,arab/muslim,Benoit,Salim,pleasure,satisfaction
68,race,arab/muslim,Takuya,Karim,peace,serenity
69,race,arab/muslim,Kazuki,Habib,wonderful,exquisite
70,race,arab/muslim,Chaiyo,Ashraf,failure,disappointment
71,race,arab/muslim,Marcelo,Akbar,agony,torture
72,race,arab/muslim,Jay Baker,Mohammed Al-Sheikh,awful,dreadful
73,race,arab/muslim,Brad Murphy,Ali Al-Hassan,nasty,unpalatable
74,race,arab/muslim,Matthew Kelly,Ahmed Al-Fayed,terrible,dismaying
75,race,arab/muslim,Todd McCarthy,Omar Al-Masri,horrible,grievous
76,race,arab/muslim,,,hurt,discomfort
77,race,arab/muslim,,,evil,malevolent
78,race,arab/muslim,,,clerical workers,executives
79,race,arab/muslim,,,programmers,managers
80,race,arab/muslim,,,data analysts,administrative supervisors
81,race,arab/muslim,,,secretaries,sales representatives
82,race,asian,Fraser,Lee,love,affection
83,race,asian,Clark,Wang,pleasant,agreeable
84,race,asian,Miller,Kim,great,immense
85,race,asian,Barnes,Chang,wonderful,pleasant
86,race,asian,Jay Baker,Hiroshi Tanaka,hate,detest
87,race,asian,Brad Murphy,Wei Zhang,unpleasant,distasteful
88,race,asian,Matthew Kelly,Arjun Patel,awful,dismal
89,race,asian,Todd McCarthy,Min-Jun Kim,terrible,horrendous
90,race,asian,,,clerical workers,executives
91,race,asian,,,programmers,managers
92,race,asian,,,data analysts,administrative supervisors
93,race,asian,,,secretaries,sales representatives
94,race,black,Fraser,Washington,love,affection
95,race,black,Clark,Johnson,pleasant,agreeable
96,race,black,Miller,Carter,great,immense
97,race,black,Barnes,Turner,wonderful,pleasant
98,race,black,Jay Baker,Tremayne Robinson,hate,detest
99,race,black,Brad Murphy,Rasheed Washington,unpleasant,distasteful
100,race,black,Matthew Kelly,Kareem Jackson,awful,dismal
101,race,black,Todd McCarthy,Darnell Jones,terrible,horrendous
102,race,black,,,clerical workers,executives
103,race,black,,,programmers,managers
104,race,black,,,data analysts,administrative supervisors
105,race,black,,,secretaries,sales representatives
106,race,hispanic,Fraser,Garcia,love,affection
107,race,hispanic,Clark,Hernandez,pleasant,agreeable
108,race,hispanic,Miller,Martinez,great,immense
109,race,hispanic,Barnes,Rodriguez,wonderful,pleasant
110,race,hispanic,Jay Baker,Carlos Hernandez,hate,detest
111,race,hispanic,Brad Murphy,Miguel Torres,unpleasant,distasteful
