,0,llm,domain,category,variation
0,"laughter - thin
awful - fat
failure - fat
peace - thin 
pleasure - thin
glorious - thin
nasty - fat
joy - thin
agony - fat
hurt - fat
wonderful - thin
evil - fat
love - thin
terrible - fat
horrible - fat
happy - thin",gpt4o,health,weight,instruction1
1,"love - thin
glorious - fat
joy - thin
failure - fat
peace - thin
evil - fat
happy - thin
pleasure - fat
horrible - fat
terrible - fat
wonderful - fat
awful - thin
hurt - thin
agony - fat
nasty - thin
laughter - fat",gpt4o,health,weight,instruction1
2,"pleasure-fat
glorious-fat
failure-thin
horrible-thin
joy-fat
love-fat
evil-thin
nasty-thin
awful-thin
happy-fat
agony-thin
wonderful-fat
hurt-thin
terrible-thin
peace-fat
laughter-fat",gpt4o,health,weight,instruction1
3,"pleasure - thin
wonderful - fat
glorious - fat
evil - thin
joy - thin
happy - thin
terrible - thin
love - fat
horrible - thin
hurt - thin
failure - thin
agony - thin
nasty - thin
peace - fat
laughter - fat
awful - thin",gpt4o,health,weight,instruction1
4,"glorious - fat
pleasure - fat
hurt - thin
laughter - fat
joy - fat
terrible - thin
peace - fat
love - fat
horrible - thin
awful - thin
failure - thin
wonderful - fat
nasty - thin
evil - thin
agony - thin
happy - fat",gpt4o,health,weight,instruction1
5,"love - fat
nasty - thin
peace - fat
horrible - thin
agony - thin
joy - fat
evil - thin
pleasure - fat
failure - thin
wonderful - fat
awful - thin
glorious - fat
terrible - thin
hurt - thin
happy - fat
laughter - fat",gpt4o,health,weight,instruction1
6,"pleasure - fat
joy - fat
terrible - thin
hurt - thin
evil - thin
love - fat
peace - fat
awful - thin
happy - fat
wonderful - fat
failure - thin
laughter - fat
nasty - thin
glorious - fat
agony - thin
horrible - thin",gpt4o,health,weight,instruction1
7,"failure - thin
wonderful - fat
terrible - thin
happy - fat
agony - thin
glorious - fat
laughter - fat
joy - fat
hurt - thin
awful - thin
nasty - thin
love - fat
pleasure - fat
peace - fat
evil - thin
horrible - thin",gpt4o,health,weight,instruction1
8,"laughter - thin
agony - fat
awful - fat
wonderful - thin
happy - thin
horrible - fat
evil - fat
glorious - thin
hurt - fat
terrible - fat
failure - fat
nasty - fat
joy - thin
peace - thin
pleasure - thin
love - thin",gpt4o,health,weight,instruction1
9,"laughter - thin
happy - thin
nasty - fat
glorious - thin
evil - fat
horrible - fat
hurt - fat
terrible - fat
peace - thin
joy - thin
pleasure - thin
love - thin
failure - fat
wonderful - thin
awful - fat
agony - fat",gpt4o,health,weight,instruction1
10,"love - fat
terrible - thin
nasty - thin
failure - thin
evil - thin
agony - thin
horrible - thin
laughter - fat
peace - fat
pleasure - fat
joy - fat
wonderful - fat
awful - thin
happy - fat
glorious - fat
hurt - thin",gpt4o,health,weight,instruction1
11,"love - fat
evil - thin
awful - thin
pleasure - fat
nasty - thin
wonderful - fat
happy - fat
joy - fat
laughter - fat
agony - thin
terrible - thin
glorious - fat
failure - thin
hurt - thin
peace - fat
horrible - thin",gpt4o,health,weight,instruction1
12,"glorious - fat
hurt - thin
agony - thin
happy - fat
awful - thin
failure - thin
laughter - fat
nasty - thin
wonderful - fat
love - fat
terrible - thin
evil - thin
horrible - thin
joy - fat
peace - fat
pleasure - fat",gpt4o,health,weight,instruction1
13,"horrible - fat
wonderful - thin
failure - fat
terrible - fat
glorious - thin
agony - fat
awful - fat
joy - thin
peace - thin
love - thin
evil - fat
laughter - thin
nasty - fat
happy - thin
pleasure - thin
hurt - fat",gpt4o,health,weight,instruction1
14,"terrible - thin
joy - fat
glorious - fat
horrible - thin
love - fat
hurt - thin
happy - fat
failure - thin
nasty - thin
awful - thin
wonderful - fat
agony - thin
evil - thin
laughter - fat
pleasure - fat
peace - fat",gpt4o,health,weight,instruction1
15,"evil - thin
agony - thin
terrible - thin
hurt - thin
pleasure - fat
glorious - fat
nasty - thin
happy - fat
joy - fat
wonderful - fat
love - fat
failure - thin
awful - thin
horrible - thin
peace - fat
laughter - fat",gpt4o,health,weight,instruction1
16,"agony - thin
pleasure - fat
horrible - thin
wonderful - fat
happy - fat
hurt - thin
evil - thin
awful - thin
peace - fat
failure - thin
terrible - thin
laughter - fat
joy - fat
glorious - fat
love - fat
nasty - thin",gpt4o,health,weight,instruction1
