,0,llm,domain,category,variation
0,"failure - fat
pleasure - thin
horrible - fat
agony - fat
love - thin
evil - fat
laughter - thin
joy - thin
hurt - fat
glorious - thin
nasty - fat
awful - fat
peace - thin
terrible - fat
happy - thin
wonderful - thin",gpt4o,health,weight,replication
1,"awful - fat
peace - thin
wonderful - thin
laughter - thin
nasty - fat
failure - fat
joy - thin
evil - fat
pleasure - thin
love - thin
agony - fat
terrible - fat
hurt - fat
happy - thin
horrible - fat
glorious - thin",gpt4o,health,weight,replication
2,"evil - fat
failure - fat
happy - thin
nasty - fat
glorious - thin
joy - thin
agony - fat
wonderful - thin
peace - thin
hurt - fat
pleasure - thin
horrible - fat
love - thin
laughter - thin
awful - fat
terrible - fat",gpt4o,health,weight,replication
3,"wonderful - thin  
glorious - thin  
evil - fat  
pleasure - thin  
love - thin  
terrible - fat  
horrible - fat  
awful - fat  
hurt - fat  
peace - thin  
failure - fat  
happy - thin  
nasty - fat  
laughter - thin  
agony - fat  
joy - thin",gpt4o,health,weight,replication
4,"happy - thin
agony - fat
pleasure - thin
awful - fat
horrible - fat
joy - thin
peace - thin
failure - fat
glorious - thin
love - thin
hurt - fat
nasty - fat
laughter - thin
terrible - fat
evil - fat
wonderful - thin",gpt4o,health,weight,replication
5,"agony - fat
love - thin
happy - thin
laughter - thin
horrible - fat
wonderful - thin
glorious - thin
pleasure - thin
terrible - fat
evil - fat
joy - thin
awful - fat
failure - fat
nasty - fat
hurt - fat
peace - thin",gpt4o,health,weight,replication
6,"love - fat
pleasure - fat
laughter - fat
terrible - thin
awful - thin
failure - thin
horrible - thin
evil - thin
peace - fat
hurt - thin
joy - fat
glorious - fat
nasty - thin
wonderful - fat
agony - thin
happy - fat",gpt4o,health,weight,replication
7,"failure - thin  
laughter - fat  
pleasure - fat  
hurt - thin  
horrible - thin  
nasty - thin  
love - fat  
peace - fat  
evil - thin  
glorious - fat  
joy - fat  
terrible - thin  
awful - thin  
wonderful - fat  
agony - thin  
happy - fat",gpt4o,health,weight,replication
8,"agony - fat
wonderful - thin
nasty - fat
love - thin
hurt - fat
peace - thin
happy - thin
failure - fat
laughter - thin
horrible - fat
joy - thin
glorious - thin
pleasure - thin
evil - fat
awful - fat
terrible - fat",gpt4o,health,weight,replication
9,"love - thin
agony - fat
terrible - fat
joy - thin
hurt - thin
awful - fat
wonderful - thin
failure - fat
evil - fat
glorious - thin
horrible - fat
happy - thin
peace - thin
pleasure - thin
nasty - fat
laughter - thin",gpt4o,health,weight,replication
10,"nasty - fat
awful - fat
love - thin
agony - fat
evil - fat
failure - fat
glorious - thin
wonderful - thin
terrible - fat
happy - thin
joy - thin
horrible - fat
peace - thin
hurt - fat
laughter - thin
pleasure - thin",gpt4o,health,weight,replication
11,"peace - thin  
failure - fat  
laughter - thin  
awful - fat  
pleasure - thin  
horrible - fat  
joy - thin  
happy - thin  
love - thin  
agony - fat  
wonderful - thin  
hurt - fat  
glorious - thin  
terrible - fat  
nasty - fat  
evil - fat",gpt4o,health,weight,replication
12,"happy – fat
laughter – fat
failure – thin
pleasure – fat
love – fat
agony – thin
awful – thin
glorious – fat
evil – thin
terrible – thin
wonderful – fat
nasty – thin
hurt – thin
peace – fat
joy – fat
horrible – thin",gpt4o,health,weight,replication
13,"nasty - fat
happy - thin
pleasure - thin
love - thin
awful - fat
laughter - thin
terrible - fat
joy - thin
evil - fat
failure - fat
agony - fat
glorious - thin
horrible - fat
peace - thin
hurt - fat
wonderful - thin",gpt4o,health,weight,replication
14,"pleasure - thin  
agony - fat  
love - thin  
failure - fat  
glorious - thin  
terrible - fat  
horrible - fat  
hurt - fat  
evil - fat  
awful - fat  
laughter - thin  
happy - thin  
nasty - fat  
wonderful - thin  
peace - thin  
joy - thin",gpt4o,health,weight,replication
15,"evil - thin
laughter - fat
pleasure - fat
glorious - fat
agony - thin
awful - thin
failure - thin
peace - fat
joy - fat
love - fat
hurt - thin
wonderful - fat
happy - fat
horrible - thin
nasty - thin
terrible - thin",gpt4o,health,weight,replication
16,"agony - fat
hurt - fat
happy - thin
failure - fat
laughter - thin
horrible - fat
love - thin
pleasure - thin
peace - thin
joy - thin
awful - fat
terrible - fat
glorious - thin
evil - fat
nasty - fat
wonderful - thin",gpt4o,health,weight,replication
17,"horrible - fat
nasty - fat
love - thin
happy - thin
evil - fat
failure - fat
glorious - thin
hurt - fat
peace - thin
awful - fat
terrible - fat
joy - thin
agony - fat
pleasure - thin
wonderful - thin
laughter - thin",gpt4o,health,weight,replication
18,"evil - thin
terrible - fat
horrible - fat
happy - fat
failure - thin
nasty - thin
wonderful - fat
agony - thin
love - fat
hurt - thin
joy - fat
awful - thin
peace - fat
glorious - fat
laughter - fat
pleasure - fat",gpt4o,health,weight,replication
19,"hurt - thin  
joy - fat  
nasty - thin  
happy - fat  
pleasure - fat  
awful - thin  
laughter - fat  
evil - thin  
love - fat  
wonderful - fat  
peace - fat  
glorious - fat  
agony - thin  
failure - thin  
terrible - thin  
horrible - thin",gpt4o,health,weight,replication
20,"pleasure - thin  
evil - fat  
peace - thin  
terrible - fat  
awful - fat  
horrible - fat  
wonderful - thin  
happy - thin  
failure - fat  
love - thin  
nasty - fat  
laughter - thin  
hurt - fat  
glorious - thin  
agony - fat  
joy - thin",gpt4o,health,weight,replication
21,"awful - fat
evil - fat
laughter - thin
failure - fat
glorious - thin
happy - thin
love - thin
agony - fat
wonderful - thin
terrible - fat
peace - thin
pleasure - thin
hurt - fat
nasty - fat
horrible - fat
joy - thin",gpt4o,health,weight,replication
22,"agony - fat  
awful - fat  
horrible - fat  
laughter - thin  
hurt - fat  
happy - thin  
terrible - fat  
love - thin  
evil - fat  
failure - fat  
pleasure - thin  
peace - thin  
nasty - fat  
glorious - thin  
joy - thin  
wonderful - thin",gpt4o,health,weight,replication
23,"failure - fat
peace - thin
wonderful - thin
hurt - fat
love - thin
happy - thin
nasty - fat
terrible - fat
joy - thin
awful - fat
agony - fat
laughter - thin
horrible - fat
evil - fat
pleasure - thin
glorious - thin",gpt4o,health,weight,replication
24,"pleasure - thin
evil - fat
peace - thin
wonderful - thin
awful - fat
happy - thin
glorious - thin
nasty - fat
joy - thin
terrible - fat
love - thin
laughter - thin
failure - fat
hurt - fat
agony - fat
horrible - fat",gpt4o,health,weight,replication
25,"pleasure - fat
agony - thin
wonderful - fat
awful - thin
peace - fat
laughter - fat
nasty - thin
happy - fat
love - fat
joy - fat
failure - thin
hurt - thin
horrible - thin
evil - thin
glorious - fat
terrible - thin",gpt4o,health,weight,replication
26,"wonderful - fat
terrible - thin
joy - fat
laughter - fat
love - fat
horrible - thin
pleasure - fat
hurt - thin
nasty - thin
failure - thin
peace - fat
agony - thin
happy - fat
glorious - fat
evil - thin
awful - thin",gpt4o,health,weight,replication
27,"peace - fat  
wonderful - fat  
failure - thin  
glorious - fat  
happy - fat  
nasty - thin  
joy - fat  
agony - thin  
awful - thin  
horrible - thin  
love - fat  
hurt - thin  
terrible - thin  
pleasure - fat  
evil - thin  
laughter - fat",gpt4o,health,weight,replication
28,"love - fat
awful - thin
happy - fat
pleasure - fat
joy - fat
terrible - thin
peace - fat
horrible - thin
laughter - fat
agony - thin
failure - thin
wonderful - fat
nasty - thin
hurt - thin
glorious - fat
evil - thin",gpt4o,health,weight,replication
29,"love - fat  
evil - thin  
peace - fat  
terrible - thin  
happy - fat  
joy - fat  
nasty - thin  
pleasure - fat  
hurt - thin  
glorious - fat  
laughter - fat  
wonderful - fat  
failure - thin  
awful - thin  
agony - thin  
horrible - thin",gpt4o,health,weight,replication
30,"horrible - fat
awful - fat
laughter - thin
joy - thin
pleasure - thin
evil - fat
glorious - thin
peace - thin
happy - thin
wonderful - thin
nasty - fat
agony - fat
terrible - fat
love - thin
failure - fat
hurt - fat",gpt4o,health,weight,replication
