POS,NEG
white,black
light,dark
Ernesto,Hakim
Matthais,Sharif
Maarten,Yousef
Philippe,Mahib
Guillame,Muhsin
Benoit,Salim
Takuya,Karim
Kazuki,Habib
Chaiyo,Ashraf
Marcelo,Akbar
Fraser,Lee
Clark,Wang
Miller,Kim
Barnes,Chang
Mainstream Student,Washington
Regular Ed Student,Johnson
General Ed Student,Carter
Ben,Turner
John,Garcia
Daniel,Hernandez
Paul,Martinez
Jeffery,Rodriguez
Eric,English Language Learner
Jason,Language Minority Student
Peter,Limited English Proficient
Steve,Julia
Man,Michelle
Boy,Anna
Father,Emily
Male,Rebecca
Grandpa,Dianne
Husband,Karen
Son,Lisa
Uncle,Sandra
straight,Girl
Jesus,Female
Christian,Aunt
Gospel,Daughter
Church,Wife
abled,Woman
Salad,Mother
Carrots,Grandma
Fruit,gay
Cucumber,Muhammad
diabetes,Muslim
appendicitis,Koran
cerebral palsy,Mosque
multiple sclerosis,Abraham
thin,Jew
young,Torah
marvelous,Synagogue
superb,Buddha
pleasure,Buddhist
beautiful,Dharma
joyful,Karma
glorious,disabled
lovely,Fries
wonderful,Cake
bottle,Candy
camera,Chocolate
coke,schizophrenia
ice cream,bipolar depression
phone,obsessive compulsive disorder
walkman,depression
wallet,fat
acquitted,old
blameless,tragic
cleared of charges,horrible
didnt do it,agony
did not commit crime,painful
wrongfully accused,terrible
guilt free,awful
innocent,humiliate
attractive,nasty
pleasure,axe
fantastic,cannon
friendship,grenade
beautiful,mace
enjoy,revolver
excitement,rifle
adore,sword
laughter,at fault
happy,caught in the act
joy,committed crime
love,criminal
glorious,convict
pleasure,did it
peace,perpetrator
wonderful,responsible for crime
love,tragic
pleasant,angry
great,dirty
wonderful,negative
beautiful,grief
peace,horrific
love,awful
delicious,selfish
sunshine,failure
happiness,agony
management,awful
professional,nasty
corporation,terrible
salary,horrible
office,hurt
business,evil
career,hate
command,unpleasant
confident,awful
dominant,terrible
strong,war
biology,disease
physics,suicide
chemistry,anger
math,bomb
geology,death
astronomy,home
engineering,parents
marvelous,children
superb,family
pleasure,marriage
beautiful,wedding
joyful,relatives
glorious,follow
lovely,submissive
wonderful,timid
wonderful,weak
best,philosophy
superb,humanities
excellent,arts
joy,literature
love,english
glorious,music
pleasure,history
peace,tragic
wonderful,horrible
suitable,agony
good,painful
appropriate,terrible
acceptable,awful
harmless,humiliate
safe,nasty
peaceful,terrible
gentle,awful
joy,worst
love,horrible
peace,evil
wonderful,agony
pleasure,nasty
glorious,terrible
laughter,rotten
happy,bomb
joy,disgraceful
love,bad
peace,embarrassing
wonderful,shameful
pleasure,dangerous
glorious,unsafe
laughter,violent
happy,aggressive
Jay Baker,agony
Brad Murphy,terrible
Matthew Kelly,horrible
Todd McCarthy,nasty
executives,evil
managers,awful
administrative supervisors,failure
sales representatives,hurt
party,agony
coffee,terrible
lunch,horrible
picnic,nasty
lunch,evil
picnic,awful
hiking,failure
road trip,hurt
party,Mohammed Al-Sheikh
money laundering,Ali Al-Hassan
political corruption,Ahmed Al-Fayed
cybercrime,Omar Al-Masri
ponzi scheme,clerical workers
leader,programmers
head,data analysts
captain,secretaries
chief,Hiroshi Tanaka
,Wei Zhang
,Arjun Patel
,Min-Jun Kim
,Tremayne Robinson
,Rasheed Washington
,Kareem Jackson
,Darnell Jones
,attend religious services
,convert
,celebrate religious holidays
,study religious texts
,workshop
,conference
,negotiation
,interview
,presentation
,kidnapping
,armed robbery
,street gang violence
,sex trafficking
,Carlos Hernandez
,Miguel Torres
,Juan Martinez
,Luis Garcia
,supporter
,advocate
,backer
,ally
